p_media_group_cd,p_media_group1_cd,p_media_group1_name,p_media_group2_cd,p_media_group2_name,p_media_group3_cd,p_media_group3_name
2102,2,オーディオ,1,CD,02,CD 演歌・歌謡曲
2103,2,オーディオ,1,CD,03,CD Jポップ
2104,2,オーディオ,1,CD,04,CD ロック・ポップス
2105,2,オーディオ,1,CD,05,CD ブラック
2106,2,オーディオ,1,CD,06,CD ワールドミュージック
2107,2,オーディオ,1,CD,07,CD ジャズ・フュージョン
2108,2,オーディオ,1,CD,08,CD クラシック
2109,2,オーディオ,1,CD,09,CD イージーリスニング
2110,2,オーディオ,1,CD,10,CD サントラ
2111,2,オーディオ,1,CD,11,CD キッズ
2112,2,オーディオ,1,CD,12,CD アニメ・ゲーム
2113,2,オーディオ,1,CD,13,CD 純邦楽
2114,2,オーディオ,1,CD,14,CD 趣味・教養
2115,2,オーディオ,1,CD,15,CD 学芸
2116,2,オーディオ,1,CD,16,CD ドキュメンタリー
2117,2,オーディオ,1,CD,17,CD スポーツ
2118,2,オーディオ,1,CD,18,CD アイドル
2119,2,オーディオ,1,CD,19,CD アダルト
2120,2,オーディオ,1,CD,20,CD カラオケ
2121,2,オーディオ,1,CD,21,CD 輸入盤
2199,2,オーディオ,1,CD,99,CD その他
2202,2,オーディオ,2,カセット,02,CT 演歌・歌謡曲
2203,2,オーディオ,2,カセット,03,CT Jポップ
2204,2,オーディオ,2,カセット,04,CT ロック・ポップス
2205,2,オーディオ,2,カセット,05,CT ブラック
2206,2,オーディオ,2,カセット,06,CT ワールドミュージック
2207,2,オーディオ,2,カセット,07,CT ジャズ・フュージョン
2208,2,オーディオ,2,カセット,08,CT クラシック
2209,2,オーディオ,2,カセット,09,CT イージーリスニング
2210,2,オーディオ,2,カセット,10,CT サントラ
2211,2,オーディオ,2,カセット,11,CT キッズ
2212,2,オーディオ,2,カセット,12,CT アニメ・ゲーム
2213,2,オーディオ,2,カセット,13,CT 純邦楽
2214,2,オーディオ,2,カセット,14,CT 趣味・教養
2215,2,オーディオ,2,カセット,15,CT 学芸
2216,2,オーディオ,2,カセット,16,CT ドキュメンタリー
2217,2,オーディオ,2,カセット,17,CT スポーツ
2218,2,オーディオ,2,カセット,18,CT アイドル
2219,2,オーディオ,2,カセット,19,CT アダルト
2220,2,オーディオ,2,カセット,20,CT カラオケ
2221,2,オーディオ,2,カセット,21,CT 輸入盤
2299,2,オーディオ,2,カセット,99,CT その他
2302,2,オーディオ,3,アナログ,02,AN 演歌・歌謡曲
2303,2,オーディオ,3,アナログ,03,AN Jポップ
2304,2,オーディオ,3,アナログ,04,AN ロック・ポップス
2305,2,オーディオ,3,アナログ,05,AN ブラック
2306,2,オーディオ,3,アナログ,06,AN ワールドミュージック
2307,2,オーディオ,3,アナログ,07,AN ジャズ・フュージョン
2308,2,オーディオ,3,アナログ,08,AN クラシック
2309,2,オーディオ,3,アナログ,09,AN イージーリスニング
2310,2,オーディオ,3,アナログ,10,AN サントラ
2311,2,オーディオ,3,アナログ,11,AN キッズ
2312,2,オーディオ,3,アナログ,12,AN アニメ・ゲーム
2313,2,オーディオ,3,アナログ,13,AN 純邦楽
2314,2,オーディオ,3,アナログ,14,AN 趣味・教養
2315,2,オーディオ,3,アナログ,15,AN 学芸
2316,2,オーディオ,3,アナログ,16,AN ドキュメンタリー
2317,2,オーディオ,3,アナログ,17,AN スポーツ
2318,2,オーディオ,3,アナログ,18,AN アイドル
2319,2,オーディオ,3,アナログ,19,AN アダルト
2320,2,オーディオ,3,アナログ,20,AN カラオケ
2321,2,オーディオ,3,アナログ,21,AN 輸入盤
2399,2,オーディオ,3,アナログ,99,AN その他
2902,2,オーディオ,9,その他AU,02,AU 演歌・歌謡曲
2903,2,オーディオ,9,その他AU,03,AU Jポップ
2904,2,オーディオ,9,その他AU,04,AU ロック・ポップス
2905,2,オーディオ,9,その他AU,05,AU ブラック
2906,2,オーディオ,9,その他AU,06,AU ワールドミュージック
2907,2,オーディオ,9,その他AU,07,AU ジャズ・フュージョン
2908,2,オーディオ,9,その他AU,08,AU クラシック
2909,2,オーディオ,9,その他AU,09,AU イージーリスニング
2910,2,オーディオ,9,その他AU,10,AU サントラ
2911,2,オーディオ,9,その他AU,11,AU キッズ
2912,2,オーディオ,9,その他AU,12,AU アニメ・ゲーム
2913,2,オーディオ,9,その他AU,13,AU 純邦楽
2914,2,オーディオ,9,その他AU,14,AU 趣味・教養
2915,2,オーディオ,9,その他AU,15,AU 学芸
2916,2,オーディオ,9,その他AU,16,AU ドキュメンタリー
2917,2,オーディオ,9,その他AU,17,AU スポーツ
2918,2,オーディオ,9,その他AU,18,AU アイドル
2919,2,オーディオ,9,その他AU,19,AU アダルト
2920,2,オーディオ,9,その他AU,20,AU カラオケ
2921,2,オーディオ,9,その他AU,21,AU 輸入盤
2999,2,オーディオ,9,その他AU,99,AU その他
3101,3,ビジュアル,1,DVD,01,DV 音楽物
3102,3,ビジュアル,1,DVD,02,DV 邦画
3104,3,ビジュアル,1,DVD,04,ＤＶ 洋画
3106,3,ビジュアル,1,DVD,06,DV TVドラマ
3107,3,ビジュアル,1,DVD,07,DV 特撮・ヒーロー
3108,3,ビジュアル,1,DVD,08,DV アニメ
3109,3,ビジュアル,1,DVD,09,DV キッズ
3110,3,ビジュアル,1,DVD,10,DV 趣味・教養
3111,3,ビジュアル,1,DVD,11,DV ドキュメンタリー
3112,3,ビジュアル,1,DVD,12,DV スポーツ
3113,3,ビジュアル,1,DVD,13,DV アイドル
3114,3,ビジュアル,1,DVD,14,DV アダルト
3115,3,ビジュアル,1,DVD,15,DV カラオケ
3116,3,ビジュアル,1,DVD,16,DV 輸入盤
3199,3,ビジュアル,1,DVD,99,DV その他
3201,3,ビジュアル,2,BD,01,BD 音楽物
3202,3,ビジュアル,2,BD,02,BD 邦画
3204,3,ビジュアル,2,BD,04,BD 洋画
3206,3,ビジュアル,2,BD,06,BD TVドラマ
3207,3,ビジュアル,2,BD,07,BD 特撮・ヒーロー
3208,3,ビジュアル,2,BD,08,BD アニメ
3209,3,ビジュアル,2,BD,09,BD キッズ
3210,3,ビジュアル,2,BD,10,BD 趣味・教養
3211,3,ビジュアル,2,BD,11,BD ドキュメンタリー
3212,3,ビジュアル,2,BD,12,BD スポーツ
3213,3,ビジュアル,2,BD,13,BD アイドル
3214,3,ビジュアル,2,BD,14,BD アダルト
3215,3,ビジュアル,2,BD,15,BD カラオケ
3216,3,ビジュアル,2,BD,16,BD 輸入盤
3299,3,ビジュアル,2,BD,99,BD その他
3301,3,ビジュアル,3,VHS,01,VH 音楽物
3302,3,ビジュアル,3,VHS,02,VH 邦画
3304,3,ビジュアル,3,VHS,04,VH 洋画
3306,3,ビジュアル,3,VHS,06,VH TVドラマ
3307,3,ビジュアル,3,VHS,07,VH 特撮・ヒーロー
3308,3,ビジュアル,3,VHS,08,VH アニメ
3309,3,ビジュアル,3,VHS,09,VH キッズ
3310,3,ビジュアル,3,VHS,10,VH 趣味・教養
3311,3,ビジュアル,3,VHS,11,VH ドキュメンタリー
3312,3,ビジュアル,3,VHS,12,VH スポーツ
3313,3,ビジュアル,3,VHS,13,VH アイドル
3314,3,ビジュアル,3,VHS,14,VH アダルト
3315,3,ビジュアル,3,VHS,15,VH カラオケ
3316,3,ビジュアル,3,VHS,16,VH 輸入盤
3399,3,ビジュアル,3,VHS,99,VH その他
3401,3,ビジュアル,4,HD,01,HD 音楽物
3402,3,ビジュアル,4,HD,02,HD 邦画
3404,3,ビジュアル,4,HD,04,HD 洋画
3406,3,ビジュアル,4,HD,06,HD TVドラマ
3407,3,ビジュアル,4,HD,07,HD 特撮・ヒーロー
3408,3,ビジュアル,4,HD,08,HD アニメ
3409,3,ビジュアル,4,HD,09,HD キッズ
3410,3,ビジュアル,4,HD,10,HD 趣味・教養
3411,3,ビジュアル,4,HD,11,HD ドキュメンタリー
3412,3,ビジュアル,4,HD,12,HD スポーツ
3413,3,ビジュアル,4,HD,13,HD アイドル
3414,3,ビジュアル,4,HD,14,HD アダルト
3415,3,ビジュアル,4,HD,15,HD カラオケ
3416,3,ビジュアル,4,HD,16,HD 輸入盤
3499,3,ビジュアル,4,HD,99,HD その他
3501,3,ビジュアル,5,UMD,01,UM 音楽物
3502,3,ビジュアル,5,UMD,02,UM 邦画
3504,3,ビジュアル,5,UMD,04,UM 洋画
3506,3,ビジュアル,5,UMD,06,UM TVドラマ
3507,3,ビジュアル,5,UMD,07,UM 特撮・ヒーロー
3508,3,ビジュアル,5,UMD,08,UM アニメ
3509,3,ビジュアル,5,UMD,09,UM キッズ
3510,3,ビジュアル,5,UMD,10,UM 趣味・教養
3511,3,ビジュアル,5,UMD,11,UM ドキュメンタリー
3512,3,ビジュアル,5,UMD,12,UM スポーツ
3513,3,ビジュアル,5,UMD,13,UM アイドル
3514,3,ビジュアル,5,UMD,14,UM アダルト
3515,3,ビジュアル,5,UMD,15,UM カラオケ
3516,3,ビジュアル,5,UMD,16,UM 輸入盤
3599,3,ビジュアル,5,UMD,99,UM その他
3901,3,ビジュアル,9,その他VI,01,VI 音楽物
3902,3,ビジュアル,9,その他VI,02,VI 邦画
3904,3,ビジュアル,9,その他VI,04,VI 洋画
3906,3,ビジュアル,9,その他VI,06,VI TVドラマ
3907,3,ビジュアル,9,その他VI,07,VI 特撮・ヒーロー
3908,3,ビジュアル,9,その他VI,08,VI アニメ
3909,3,ビジュアル,9,その他VI,09,VI キッズ
3910,3,ビジュアル,9,その他VI,10,VI 趣味・教養
3911,3,ビジュアル,9,その他VI,11,VI ドキュメンタリー
3912,3,ビジュアル,9,その他VI,12,VI スポーツ
3913,3,ビジュアル,9,その他VI,13,VI アイドル
3914,3,ビジュアル,9,その他VI,14,VI アダルト
3915,3,ビジュアル,9,その他VI,15,VI カラオケ
3916,3,ビジュアル,9,その他VI,16,VI 輸入盤
3999,3,ビジュアル,9,その他VI,99,VI その他
4010,4,書籍,0,雑誌・コミック,10,雑誌 全般
4011,4,書籍,0,雑誌・コミック,11,週刊誌
4012,4,書籍,0,雑誌・コミック,12,月刊誌
4013,4,書籍,0,雑誌・コミック,13,ムック
4020,4,書籍,0,雑誌・コミック,20,コミック 全般
4021,4,書籍,0,雑誌・コミック,21,コミック 廉価版
4022,4,書籍,0,雑誌・コミック,22,コミック 少年
4023,4,書籍,0,雑誌・コミック,23,コミック 少女
4024,4,書籍,0,雑誌・コミック,24,コミック 青年
4025,4,書籍,0,雑誌・コミック,25,コミック 女性
4026,4,書籍,0,雑誌・コミック,26,コミック 成人
4027,4,書籍,0,雑誌・コミック,27,コミック 耽美
4110,4,書籍,1,文庫・新書,10,文庫 全般
4111,4,書籍,1,文庫・新書,11,文庫 ティーンズ少女
4112,4,書籍,1,文庫・新書,12,文庫 ティーンズ少年
4113,4,書籍,1,文庫・新書,13,文庫 レディース
4114,4,書籍,1,文庫・新書,14,文庫 日本文学
4115,4,書籍,1,文庫・新書,15,文庫 学術・教養
4116,4,書籍,1,文庫・新書,16,文庫 雑学・特殊
4117,4,書籍,1,文庫・新書,17,文庫 官能
4118,4,書籍,1,文庫・新書,18,文庫 コミック
4119,4,書籍,1,文庫・新書,19,文庫 歴史
4120,4,書籍,1,文庫・新書,20,文庫 海外文学
4140,4,書籍,1,文庫・新書,40,新書 全般
4141,4,書籍,1,文庫・新書,41,新書 ノベルス
4142,4,書籍,1,文庫・新書,42,新書 ブックス
4143,4,書籍,1,文庫・新書,43,新書 ライブラリー
4144,4,書籍,1,文庫・新書,44,新書 教養
4145,4,書籍,1,文庫・新書,45,新書 選書・双書
4146,4,書籍,1,文庫・新書,46,新書 耽美
4210,4,書籍,2,文芸・教養・人文,10,文芸 全般
4211,4,書籍,2,文芸・教養・人文,11,文芸 詩・詩集
4212,4,書籍,2,文芸・教養・人文,12,文芸 短歌・俳句
4213,4,書籍,2,文芸・教養・人文,13,文芸 耽美・官能
4214,4,書籍,2,文芸・教養・人文,14,文芸 文学全集
4215,4,書籍,2,文芸・教養・人文,15,文芸 ブックガイド
4216,4,書籍,2,文芸・教養・人文,16,文芸 日本文学
4217,4,書籍,2,文芸・教養・人文,17,文芸 エッセイ
4218,4,書籍,2,文芸・教養・人文,18,文芸 海外文学
4219,4,書籍,2,文芸・教養・人文,19,文芸 古典
4220,4,書籍,2,文芸・教養・人文,20,文芸 文芸評論
4230,4,書籍,2,文芸・教養・人文,30,教養 全般
4231,4,書籍,2,文芸・教養・人文,31,教養 ノンフィクション
