2022-11-02 19:02:16,659 | INFO | MOUSE EVENT CLICK: 500 500

2022-11-02 19:02:19,049 | INFO | Data Event: 00DD20220702000058000310

2022-11-02 19:02:19,071 | INFO | Data Event: 00DD20220702000058000130

2022-11-02 19:02:19,095 | INFO | Data Event: 00DD20220702000058000601

2022-11-02 19:02:19,115 | INFO | Data Event: 00DD20220702000058000314

2022-11-02 19:02:19,134 | INFO | Data Event: 00DD20220702000058000296

2022-11-02 19:02:19,155 | INFO | Data Event: 00DD20220702000058000618

2022-11-02 19:02:19,229 | INFO | Data Event: 00DD20220702000058000232

2022-11-02 19:02:19,249 | INFO | Data Event: 00DD20220702000058000315

2022-11-02 19:02:19,282 | INFO | Data Event: 00DD20220702000058000301

2022-11-02 19:02:19,311 | INFO | Load step 2

2022-11-02 19:02:19,684 | INFO | Data Event: 00DD20220702000058000408

2022-11-02 19:02:20,484 | INFO | Data Event: 00DD20220702000058000108

2022-11-02 19:02:21,278 | INFO | Data Event: 00DD20220702000058000145

2022-11-02 19:02:21,299 | INFO | Data Event: 00DD20220702000058000123

2022-11-02 19:02:22,065 | INFO | Data Event: 00DD20220702000058000702

2022-11-02 19:02:22,084 | INFO | Data Event: 00DD20220702000058000675

2022-11-02 19:02:22,858 | INFO | Data Event: 00DD20220702000058000638

2022-11-02 19:02:23,686 | INFO | Data Event: 00DD20220702000058000289

2022-11-02 19:02:23,703 | INFO | Data Event: 00DD20220702000058000312

2022-11-02 19:02:26,070 | INFO | Data Event: 00DD20220702000058000104

2022-11-02 19:02:26,093 | INFO | Data Event: 00DD20220702000058000126

2022-11-02 19:02:27,714 | INFO | Data Event: 00DD20220702000058000299

2022-11-02 19:02:30,075 | INFO | Data Event: 00DD20220702000058000039

2022-11-02 19:02:35,687 | INFO | Data Event: 00DD20220702000058000025

2022-11-02 19:02:39,322 | INFO | MOUSE EVENT CLICK: 24 27

2022-11-02 19:02:39,976 | INFO | MOUSE EVENT CLICK: 996 28

2022-11-02 19:02:40,739 | INFO | MOUSE EVENT CLICK: 49 22

2022-11-02 19:02:40,973 | INFO | Data Event: 00DD20220703000058000999

2022-11-02 19:03:00,704 | INFO | Data Event: 00DD20220702000058000123

2022-11-02 19:03:00,715 | INFO | MOUSE EVENT CLICK: 500 500

2022-11-02 19:03:00,772 | INFO | Load step 2

2022-11-02 19:03:01,103 | INFO | Data Event: 00DD20220702000058000408

2022-11-02 19:03:01,122 | INFO | Data Event: 00DD20220702000058000315

2022-11-02 19:03:01,145 | INFO | Data Event: 00DD20220702000058000296

2022-11-02 19:03:01,163 | INFO | Data Event: 00DD20220702000058000618

2022-11-02 19:03:01,896 | INFO | Data Event: 00DD20220702000058000126

2022-11-02 19:03:01,918 | INFO | Data Event: 00DD20220702000058000025

2022-11-02 19:03:02,691 | INFO | Data Event: 00DD20220702000058000314

2022-11-02 19:03:02,718 | INFO | Data Event: 00DD20220702000058000301

2022-11-02 19:03:02,738 | INFO | Data Event: 00DD20220702000058000310

2022-11-02 19:03:02,761 | INFO | Data Event: 00DD20220702000058000702

2022-11-02 19:03:02,786 | INFO | Data Event: 00DD20220702000058000675

2022-11-02 19:03:02,804 | INFO | Data Event: 00DD20220702000058000232

2022-11-02 19:03:02,824 | INFO | Data Event: 00DD20220702000058000145

2022-11-02 19:03:02,851 | INFO | Data Event: 00DD20220702000058000312

2022-11-02 19:03:02,872 | INFO | Data Event: 00DD20220702000058000108

2022-11-02 19:03:03,520 | INFO | Data Event: 00DD20220702000058000638

